119425	8513	fr-FR	Montesquieu	De l'esprit des lois	-	Documents et essais	-	Copyright © 2015-01-14 Ilivri	-	ILIVRI	9782335015164	epub	Charles-Louis de Secondat, baron de La Brède et de Montesquieu	2015-01-14
71347	8742	fr-FR	Honoré de Balzac	Un début dans la vie - Scènes de la vie privée	-	Romans	-	Copyright © 2015-03-05 Ilivri	-	ILIVRI	id01851	epub	Honoré de Balzac	2015-03-05
339700	21657	fr-FR	Eugène Sue	Les mystères de Paris - Tome II	-	Romans	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	9782335063202	epub	Marie-Joseph Sue	2015-02-27
21298	3026	fr-FR	Eugène Labiche	Le Voyage de monsieur Perrichon	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012859	epub	Eugène Labiche	2014-07-21
4487	1279	fr-FR	Stuart Merrill	Les Gammes - Vers	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id02658	epub	-	2016
52581	8020	fr-FR	Frédéric Mistral	Mireille - Poème provençal	-	Poésie	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012903	epub	Joseph Étienne Frédéric Mistral	2014-07-21
75993	11385	fr-FR	Odette Dulac	La Houille rouge	-	Romans	-	Copyright © 2014-10-31 Ilivri	-	ILIVRI	9782335046670	epub	Jeanne Marie-Claire Latrilhe	2014-10-31
11185	1810	fr-FR	Molière	La Critique de l’Ecole des femmes	-	Documents et essais	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012590	epub	Jean-Baptiste Poquelin	2014-07-21
47378	6464	fr-FR	Edmond Rostand	Cyrano de Bergerac	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335003796	epub	Edmond Rostand	2014-07-21
32091	6600	fr-FR	Théophile Gautier	Honoré de Balzac	-	Biographies, mémoires	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	9782335062793	epub	Théophile Gautier	2014-09-04
1846	704	fr-FR	Guy de Maupassant	L'Orient	-	Nouvelles, contes	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	id02109	epub	Guy de Maupassant	2015-02-27
56177	9656	fr-FR	Paul Margueritte	Tante Million	-	Romans	-	Copyright © 2015-01-26 Ilivri	-	ILIVRI	9782335063059	epub	Paul Margueritte	2015-01-26
9394	1647	fr-FR	Molière	L'Impromptu de Versailles	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id02602	epub	-	2016
1974	666	fr-FR	Guy de Maupassant	Fou ?	-	Nouvelles, contes	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	id02078	epub	Guy de Maupassant	2015-02-27
21828	3351	fr-FR	Jean Racine	Iphigénie en Aulide	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335062595	epub	Jean Racine	2014-07-21
62257	7612	fr-FR	Guy de Maupassant	Pierre et Jean	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008296	epub	Guy de Maupassant	2014-07-21
